0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2057,0.04251,Jalan Taman,+,0.7,TR,20.0,20.0,23.0,0.0,2020-08-03T00:59:47Z,Jalan Kuang Bulan,01fa6bb2-0e50-4ec1-b164-7765d67d05bc,F05-02055,F05-02055_2020-08-03T00:59:47Z,
2056,1.05983,Jalan Burung Hantu,+,0.7,TR,29.0,29.0,31.9,0.0,2020-08-03T00:59:47Z,Jalan Kuang Bulan,01fa6bb2-0e50-4ec1-b164-7765d67d05bc,F05-02055,F05-02055_2020-08-03T00:59:47Z,
2056,0.04939,Jalan Burung Hantu,-,0.7,TR,26.0,26.0,29.3,0.13651,2020-08-03T00:59:47Z,Jalan Kuang Bulan,c8f6ba55-4b74-4520-8d65-e7aae0624972,F05+02055,F05+02055_2020-08-03T00:59:47Z,
2057,1.05295,Jalan Taman,-,0.7,TR,29.0,29.0,31.4,0.0,2020-08-03T00:59:47Z,Jalan Kuang Bulan,c8f6ba55-4b74-4520-8d65-e7aae0624972,F05+02055,F05+02055_2020-08-03T00:59:47Z,
2060,0.03295,Jalan Taman,+,0.7,TR,24.0,24.0,19.4,0.0,2020-08-03T00:59:47Z,Jalan Kuang Gunung,822eaf51-a1e4-4996-a958-500f97891871,F05-02058,F05-02058_2020-08-03T00:59:47Z,
2059,0.98054,Jalan Burung Hantu,+,0.7,TR,25.0,25.0,22.3,0.0,2020-08-03T00:59:47Z,Jalan Kuang Gunung,822eaf51-a1e4-4996-a958-500f97891871,F05-02058,F05-02058_2020-08-03T00:59:47Z,
2059,0.02508,Jalan Burung Hantu,-,0.7,TR,13.0,13.0,11.5,0.0,2020-08-03T00:59:47Z,Jalan Kuang Gunung,278f6fce-ea89-4375-892a-394ee0c082ce,F05+02058,F05+02058_2020-08-03T00:59:47Z,
2060,0.98841,Jalan Taman,-,0.7,TR,22.0,22.0,18.5,0.0,2020-08-03T00:59:47Z,Jalan Kuang Gunung,278f6fce-ea89-4375-892a-394ee0c082ce,F05+02058,F05+02058_2020-08-03T00:59:47Z,
2062,0.0583,Jalan Tun Razak,-,0.7,TR,33.0,33.0,36.7,0.25431,2020-08-03T00:59:47Z,Jalan Kuantan,37e269f6-721c-4585-974c-f67a84523a14,F05+02061,F05+02061_2020-08-03T00:59:47Z,
2063,0.5715,Persiaran Titiwangsa,-,0.7,TR,30.0,30.0,35.1,0.79772,2020-08-03T00:59:47Z,Jalan Kuantan,37e269f6-721c-4585-974c-f67a84523a14,F05+02061,F05+02061_2020-08-03T00:59:47Z,
2064,0.53688,Jalan Titiwangsa,-,0.7,TR,33.0,33.0,37.0,0.36036,2020-08-03T00:59:47Z,Jalan Kuantan,37e269f6-721c-4585-974c-f67a84523a14,F05+02061,F05+02061_2020-08-03T00:59:47Z,
2064,0.0354,Jalan Titiwangsa,+,0.7,TR,38.0,38.0,41.0,0.0,2020-08-03T00:59:47Z,Jalan Kuantan,c8489e0a-17bc-4e2f-acb4-c529a1d0b9ed,F05-02061,F05-02061_2020-08-03T00:59:47Z,
2063,0.50148,Persiaran Titiwangsa,+,0.7,TR,31.0,31.0,36.3,0.84481,2020-08-03T00:59:47Z,Jalan Kuantan,c8489e0a-17bc-4e2f-acb4-c529a1d0b9ed,F05-02061,F05-02061_2020-08-03T00:59:47Z,
